activity_id,user_id,hotel_id,is_bookmark,is_watching
a0068,u1300,h1017,0,1
a0069,u0126,h1017,0,1
a0070,u0186,h1011,0,1
a0071,u0523,h1002,0,1
a0072,u1473,h1008,1,0
a0073,u0173,h1013,0,1
a0074,u1085,h1015,1,0
a0075,u1262,h1021,0,1
a0076,u0371,h1003,0,1
a0077,u0741,h1020,0,1
a0078,u1273,h1018,0,1
a0079,u1181,h1011,0,1
a0080,u0442,h1016,0,1
a0081,u1250,h1019,0,1
a0082,u0184,h1014,1,0
a0083,u0745,h1010,1,0
a0084,u0648,h1021,0,1
a0085,u0067,h1008,0,1
a0086,u0415,h1010,0,1
a0087,u1461,h1004,0,1
a0088,u0411,h1010,1,0
a0089,u0884,h1022,1,0
a0090,u0078,h1013,0,1
a0091,u0927,h1006,0,1
a0092,u0021,h1003,0,1
a0093,u0884,h1004,1,0
a0094,u1110,h1016,1,0
a0095,u1468,h1010,0,1
a0096,u0922,h1004,0,1
a0097,u0977,h1003,1,0
a0098,u0413,h1017,0,1
a0099,u0718,h1015,0,1
a0100,u1368,h1005,0,1
a0101,u0564,h1008,1,0
a0102,u0559,h1009,0,1
a0103,u0554,h1016,0,1
a0104,u0398,h1013,0,1
a0105,u0347,h1004,1,0
a0106,u0569,h1017,0,1
a0107,u1341,h1015,0,1
a0108,u0827,h1001,0,1
a0109,u1486,h1006,1,0
a0110,u0697,h1011,0,1
a0111,u1103,h1005,0,1
a0112,u0013,h1001,0,1
a0113,u0705,h1016,1,0
a0114,u0747,h1019,0,1
a0115,u1397,h1011,0,1
a0116,u0748,h1014,0,1
a0117,u1420,h1014,1,0
a0118,u1102,h1009,0,1
a0119,u1227,h1013,0,1
a0120,u1217,h1017,1,0
a0121,u0538,h1016,1,0
a0122,u1240,h1005,0,1
a0123,u0459,h1010,1,0
a0124,u0334,h1011,0,1
a0125,u0582,h1021,1,0
a0126,u0297,h1019,1,0
a0127,u1247,h1015,1,0
a0128,u0100,h1018,0,1
a0129,u0186,h1005,1,0
a0130,u0142,h1004,1,0
a0131,u0955,h1008,1,0
a0132,u1033,h1013,0,1
a0133,u1396,h1003,0,1
a0134,u0742,h1012,0,1
a0135,u0484,h1002,1,0
a0136,u0949,h1001,0,1
a0137,u0597,h1007,0,1
a0138,u1004,h1008,0,1
a0139,u0668,h1019,1,0
a0140,u0831,h1023,0,1
a0141,u0237,h1019,0,1
a0142,u1205,h1010,1,0
a0143,u0565,h1023,0,1
a0144,u1145,h1002,1,0
a0145,u0490,h1004,1,0
a0146,u0495,h1003,0,1
a0147,u0701,h1021,0,1
a0148,u0823,h1011,0,1
a0149,u0052,h1005,0,1
a0150,u0528,h1004,0,1
a0151,u0972,h1020,0,1
a0152,u0482,h1012,0,1
a0153,u0809,h1018,1,0
a0154,u0938,h1003,0,1
a0155,u0595,h1011,0,1
a0156,u0116,h1002,0,1
a0157,u0758,h1023,0,1
a0158,u1113,h1015,0,1
a0159,u0695,h1016,1,0
a0160,u1002,h1023,0,1
a0161,u1420,h1011,0,1
a0162,u0700,h1011,0,1
a0163,u0732,h1019,0,1
a0164,u1340,h1003,0,1
a0165,u0348,h1019,0,1
a0166,u0900,h1012,1,0
a0167,u0409,h1023,1,0
a0168,u0570,h1023,0,1
a0169,u0460,h1012,0,1
a0170,u1045,h1023,0,1
a0171,u0603,h1020,0,1
a0172,u0914,h1020,0,1
a0173,u0596,h1005,0,1
a0174,u0084,h1001,1,0
a0175,u1026,h1003,0,1
a0176,u1223,h1004,0,1
a0177,u0924,h1020,0,1
a0178,u0507,h1006,0,1
a0179,u0844,h1012,0,1
a0180,u0044,h1003,0,1
a0181,u0025,h1013,0,1
a0182,u1171,h1002,1,0
a0183,u0395,h1023,0,1
a0184,u0875,h1003,0,1
a0185,u1232,h1009,0,1
a0186,u0099,h1020,1,0
a0187,u0577,h1001,0,1
a0188,u0384,h1020,1,0
a0189,u1013,h1001,0,1
a0190,u1089,h1010,0,1
a0191,u0158,h1020,1,0
a0192,u1158,h1004,0,1
a0193,u1419,h1022,0,1
a0194,u1170,h1008,0,1
a0195,u0029,h1022,0,1
a0196,u0390,h1022,0,1
a0197,u0051,h1023,1,0
a0198,u1102,h1001,0,1
a0199,u1487,h1019,0,1
a0200,u0224,h1002,0,1
a0201,u0590,h1004,0,1
a0202,u0638,h1018,0,1
a0203,u0225,h1022,1,0
a0204,u0991,h1016,0,1
a0205,u0176,h1006,0,1
a0206,u0202,h1009,0,1
a0207,u0097,h1021,0,1
a0208,u1377,h1015,0,1
a0209,u1125,h1017,1,0
a0210,u1393,h1009,0,1
a0211,u0373,h1023,1,0
a0212,u1044,h1001,0,1
a0213,u0515,h1003,1,0
a0214,u0951,h1019,1,0
a0215,u1178,h1021,0,1
a0216,u0262,h1020,1,0
a0217,u0024,h1004,1,0
a0218,u0326,h1011,0,1
a0219,u0923,h1011,1,0
a0220,u0726,h1008,1,0
a0221,u0193,h1013,0,1
a0222,u1307,h1001,0,1
a0223,u0633,h1009,0,1
a0224,u0397,h1016,0,1
a0225,u0930,h1014,0,1
a0226,u1455,h1017,1,0
a0227,u1282,h1008,1,0
a0228,u1236,h1006,1,0
a0229,u1129,h1015,1,0
a0230,u1136,h1018,1,0
a0231,u1362,h1017,1,0
a0232,u0190,h1002,0,1
a0233,u0280,h1004,0,1
a0234,u0146,h1004,0,1
a0235,u0225,h1005,0,1
a0236,u1244,h1019,0,1
a0237,u1141,h1022,0,1
a0238,u0238,h1022,0,1
a0239,u0821,h1023,0,1
a0240,u0017,h1006,0,1
a0241,u0461,h1003,0,1
a0242,u0547,h1016,1,0
a0243,u0517,h1010,0,1
a0244,u0571,h1012,1,0
a0245,u0707,h1022,0,1
a0246,u1010,h1013,1,0
a0247,u0923,h1014,0,1
a0248,u0554,h1014,0,1
a0249,u0815,h1008,0,1
a0250,u0227,h1003,0,1
a0251,u1320,h1014,0,1
a0252,u1417,h1007,0,1
a0253,u0193,h1014,0,1
a0254,u1065,h1011,1,0
a0255,u0801,h1020,0,1
a0256,u1422,h1017,1,0
a0257,u0403,h1020,0,1
a0258,u1279,h1022,0,1
a0259,u1320,h1003,0,1
a0260,u0161,h1004,0,1
a0261,u1019,h1013,1,0
a0262,u0158,h1022,0,1
a0263,u0940,h1004,1,0
a0264,u0087,h1001,0,1
a0265,u1295,h1012,1,0
a0266,u1359,h1003,1,0
a0267,u0743,h1009,0,1
a0268,u0631,h1009,1,0
a0269,u0039,h1016,1,0
a0270,u0817,h1005,0,1
a0271,u0696,h1016,0,1
a0272,u0433,h1010,0,1
a0273,u1129,h1016,1,0
a0274,u1178,h1014,0,1
a0275,u1478,h1010,0,1
a0276,u1241,h1010,0,1
a0277,u1010,h1012,0,1
a0278,u0835,h1019,1,0
a0279,u1473,h1016,0,1
a0280,u1084,h1008,1,0
a0281,u1196,h1015,0,1
a0282,u0435,h1007,0,1
a0283,u1386,h1007,1,0
a0284,u0992,h1023,1,0
a0285,u1273,h1023,1,0
a0286,u1059,h1020,0,1
a0287,u0151,h1017,0,1
a0288,u0197,h1009,0,1
a0289,u1296,h1008,0,1
a0290,u1393,h1019,0,1
a0291,u0360,h1011,1,0
a0292,u0526,h1022,0,1
a0293,u0686,h1014,0,1
a0294,u1289,h1010,0,1
a0295,u0913,h1018,1,0
a0296,u0302,h1012,0,1
a0297,u1307,h1009,1,0
a0298,u1209,h1016,0,1
a0299,u0434,h1012,0,1
a0300,u0245,h1006,0,1
a0301,u0571,h1010,0,1
a0302,u0559,h1010,1,0
a0303,u0517,h1012,0,1
a0304,u1091,h1018,1,0
a0305,u0317,h1022,0,1
a0306,u0513,h1014,1,0
a0307,u0981,h1023,0,1
a0308,u1101,h1016,0,1
a0309,u1364,h1015,1,0
a0310,u0998,h1006,0,1
a0311,u0075,h1020,0,1
a0312,u0814,h1003,0,1
a0313,u1406,h1013,1,0
a0314,u0905,h1017,1,0
a0315,u0403,h1021,1,0
a0316,u0160,h1022,0,1
a0317,u0436,h1001,1,0
a0318,u0056,h1004,0,1
a0319,u0188,h1017,0,1
a0320,u0332,h1008,1,0
a0321,u1479,h1002,1,0
a0322,u0422,h1020,0,1
a0323,u0199,h1014,0,1
a0324,u0709,h1019,0,1
a0325,u1412,h1013,0,1
a0326,u1060,h1012,0,1
a0327,u1470,h1012,1,0
a0328,u1015,h1020,0,1
a0329,u0657,h1008,1,0
a0330,u0580,h1003,0,1
a0331,u1180,h1022,0,1
a0332,u0124,h1007,0,1
a0333,u0901,h1004,0,1
a0334,u1055,h1004,0,1
a0335,u0604,h1018,0,1
a0336,u1140,h1008,1,0
a0337,u1133,h1010,0,1
a0338,u1118,h1022,0,1
a0339,u0586,h1014,0,1
a0340,u1190,h1005,1,0
a0341,u1429,h1006,0,1
a0342,u1465,h1001,1,0
a0343,u0141,h1019,0,1
a0344,u0542,h1018,0,1
a0345,u1299,h1010,1,0
a0346,u1441,h1012,0,1
a0347,u0507,h1002,0,1
a0348,u0035,h1004,1,0
a0349,u0279,h1005,0,1
a0350,u1484,h1017,0,1
a0351,u0160,h1019,0,1
a0352,u0801,h1016,0,1
a0353,u0948,h1006,0,1
a0354,u0870,h1012,0,1
a0355,u0101,h1010,0,1
a0356,u1144,h1001,0,1
a0357,u1181,h1010,0,1
a0358,u1490,h1008,0,1
a0359,u0361,h1013,1,0
a0360,u0088,h1008,1,0
a0361,u0100,h1007,1,0
a0362,u0471,h1001,0,1
a0363,u1162,h1021,0,1
a0364,u0725,h1020,1,0
a0365,u0615,h1011,1,0
a0366,u0628,h1014,1,0
a0367,u1438,h1007,0,1
a0368,u0214,h1021,1,0
a0369,u0960,h1001,0,1
a0370,u1019,h1007,0,1
a0371,u0131,h1005,1,0
a0372,u0477,h1010,1,0
a0373,u0907,h1009,0,1
a0374,u0857,h1013,0,1
a0375,u1420,h1007,0,1
a0376,u1403,h1018,0,1
a0377,u0177,h1017,0,1
a0378,u0880,h1010,1,0
a0379,u0592,h1007,1,0
a0380,u0367,h1008,0,1
a0381,u0101,h1011,1,0
a0382,u0113,h1006,0,1
a0383,u0223,h1006,1,0
a0384,u1193,h1002,0,1
a0385,u1496,h1017,0,1
a0386,u0528,h1002,0,1
a0387,u0574,h1017,1,0
a0388,u1077,h1020,1,0
a0389,u0677,h1005,0,1
a0390,u1148,h1013,0,1
a0391,u0825,h1023,0,1
a0392,u0690,h1004,1,0
a0393,u1300,h1007,1,0
a0394,u0225,h1016,1,0
a0395,u0734,h1003,0,1
a0396,u0113,h1014,1,0
a0397,u0614,h1003,1,0
a0398,u1447,h1012,1,0
a0399,u0590,h1021,1,0
a0400,u0535,h1003,0,1
a0401,u0102,h1022,0,1
a0402,u1151,h1003,0,1
a0403,u0431,h1016,0,1
a0404,u0078,h1007,0,1
a0405,u0723,h1003,0,1
a0406,u1158,h1022,1,0
a0407,u0078,h1011,1,0
a0408,u0993,h1006,0,1
a0409,u0646,h1001,0,1
a0410,u0263,h1008,1,0
a0411,u0481,h1008,1,0
a0412,u0334,h1021,1,0
a0413,u0250,h1010,0,1
a0414,u0665,h1010,0,1
a0415,u0082,h1021,0,1
a0416,u0013,h1004,0,1
a0417,u0890,h1004,0,1
a0418,u0547,h1019,0,1
a0419,u1011,h1010,1,0
a0420,u1104,h1003,0,1
a0421,u1341,h1020,1,0
a0422,u1055,h1018,0,1
a0423,u1397,h1022,0,1
a0424,u1169,h1020,1,0
a0425,u0161,h1009,0,1
a0426,u1037,h1007,0,1
a0427,u1152,h1012,1,0
a0428,u0117,h1006,0,1
a0429,u1185,h1015,0,1
a0430,u0353,h1018,1,0
a0431,u0758,h1009,0,1
a0432,u0252,h1017,0,1
a0433,u0992,h1021,1,0
a0434,u1303,h1007,0,1
a0435,u0069,h1009,0,1
a0436,u0539,h1019,0,1
a0437,u0261,h1002,0,1
a0438,u1179,h1014,1,0
a0439,u0562,h1013,1,0
a0440,u0621,h1020,0,1
a0441,u1028,h1007,1,0
a0442,u1361,h1003,1,0
a0443,u0031,h1002,0,1
a0444,u0870,h1019,0,1
a0445,u1112,h1007,0,1
a0446,u0492,h1009,0,1
a0447,u1335,h1002,0,1
a0448,u1095,h1022,0,1
a0449,u0669,h1003,0,1
a0450,u0094,h1005,1,0
a0451,u1051,h1016,0,1
a0452,u0138,h1020,0,1
a0453,u0148,h1016,0,1
a0454,u0199,h1009,0,1
a0455,u0543,h1023,0,1
a0456,u1208,h1008,1,0
a0457,u1114,h1014,1,0
a0458,u1219,h1023,1,0
a0459,u0236,h1020,0,1
a0460,u0154,h1003,0,1
a0461,u0283,h1022,0,1
a0462,u0430,h1002,0,1
a0463,u0641,h1003,1,0
a0464,u1017,h1006,0,1
a0465,u0740,h1019,0,1
a0466,u0079,h1012,0,1
a0467,u1456,h1004,0,1
a0468,u0649,h1019,0,1
a0469,u1064,h1021,1,0
a0470,u1415,h1012,0,1
a0471,u0949,h1023,0,1
a0472,u0501,h1022,0,1
a0473,u0202,h1015,0,1
a0474,u0303,h1017,0,1
a0475,u1136,h1009,1,0
a0476,u0042,h1003,0,1
a0477,u0690,h1018,0,1
a0478,u1232,h1009,0,1
a0479,u1122,h1017,0,1
a0480,u0307,h1017,1,0
a0481,u0211,h1022,0,1
a0482,u0548,h1004,0,1
a0483,u0219,h1006,0,1
a0484,u1418,h1008,0,1
a0485,u0319,h1004,0,1
a0486,u0420,h1012,1,0
a0487,u0398,h1017,0,1
a0488,u0073,h1017,0,1
a0489,u0763,h1003,0,1
a0490,u0663,h1022,1,0
a0491,u1149,h1011,0,1
a0492,u0950,h1001,1,0
a0493,u1152,h1006,0,1
a0494,u1027,h1022,0,1
a0495,u1408,h1015,0,1
a0496,u1473,h1007,0,1
a0497,u1454,h1011,0,1
a0498,u1323,h1013,1,0
a0499,u1074,h1021,0,1
a0500,u0211,h1003,0,1
a0501,u0934,h1021,0,1
a0502,u0786,h1023,0,1
a0503,u0408,h1022,1,0
a0504,u0853,h1010,0,1
a0505,u1393,h1002,0,1
a0506,u0098,h1022,0,1
a0507,u0733,h1003,0,1
a0508,u0134,h1023,0,1
a0509,u1002,h1017,0,1
a0510,u0778,h1015,0,1
a0511,u1386,h1004,0,1
a0512,u1165,h1018,0,1
a0513,u0159,h1017,1,0
a0514,u0514,h1014,0,1
a0515,u0372,h1016,0,1
a0516,u0384,h1006,1,0
a0517,u1069,h1003,0,1
a0518,u0534,h1003,0,1
a0519,u1020,h1004,0,1
a0520,u1304,h1001,0,1
a0521,u0062,h1019,1,0
a0522,u0871,h1022,1,0
a0523,u0088,h1005,1,0
a0524,u0347,h1021,0,1
a0525,u0857,h1022,0,1
a0526,u1374,h1006,0,1
a0527,u0826,h1004,1,0
a0528,u0307,h1013,0,1
a0529,u0234,h1015,0,1
a0530,u0265,h1020,1,0
a0531,u1082,h1003,0,1
a0532,u0129,h1014,0,1
a0533,u0489,h1005,0,1
a0534,u0470,h1001,0,1
a0535,u0584,h1014,0,1
a0536,u1275,h1020,1,0
a0537,u1082,h1023,0,1
a0538,u0540,h1017,1,0
a0539,u0638,h1008,1,0
a0540,u1352,h1018,0,1
a0541,u1140,h1017,0,1
a0542,u1081,h1013,0,1
a0543,u1351,h1020,0,1
a0544,u0784,h1009,1,0
a0545,u1146,h1014,0,1
a0546,u0900,h1003,0,1
a0547,u0792,h1010,1,0
a0548,u1305,h1014,0,1
a0549,u0208,h1006,1,0
a0550,u0737,h1007,1,0
a0551,u0863,h1009,0,1
a0552,u0083,h1018,0,1
a0553,u0007,h1010,0,1
a0554,u0213,h1014,0,1
a0555,u0379,h1012,0,1
a0556,u0508,h1001,0,1
a0557,u0524,h1003,1,0
a0558,u0196,h1006,0,1
a0559,u0038,h1010,1,0
a0560,u0232,h1004,0,1
a0561,u1455,h1020,0,1
a0562,u1405,h1009,0,1
a0563,u1275,h1011,0,1
a0564,u0272,h1009,0,1
a0565,u1341,h1008,1,0
a0566,u0262,h1020,0,1
a0567,u0479,h1022,0,1
a0568,u1421,h1002,0,1
a0569,u0036,h1007,0,1
a0570,u0303,h1001,0,1
a0571,u0910,h1021,0,1
a0572,u0495,h1017,0,1
a0573,u0383,h1002,1,0
a0574,u0079,h1007,1,0
a0575,u1244,h1023,0,1
a0576,u0697,h1011,0,1
a0577,u0908,h1011,0,1
a0578,u0125,h1013,0,1
a0579,u1109,h1017,1,0
a0580,u1432,h1006,1,0
a0581,u0992,h1004,0,1
a0582,u0384,h1004,1,0
a0583,u0610,h1022,1,0
a0584,u1431,h1019,0,1
a0585,u0371,h1006,0,1
a0586,u0128,h1006,0,1
a0587,u0613,h1018,1,0
a0588,u0414,h1008,0,1
a0589,u1001,h1015,0,1
a0590,u0063,h1009,0,1
a0591,u0193,h1014,0,1
a0592,u1145,h1022,1,0
a0593,u0365,h1012,1,0
a0594,u0706,h1007,0,1
a0595,u0656,h1014,0,1
a0596,u0157,h1020,1,0
a0597,u0898,h1008,0,1
a0598,u0288,h1002,0,1
a0599,u1193,h1015,0,1
a0600,u0434,h1014,1,0
a0601,u0747,h1020,1,0
a0602,u1329,h1018,0,1
a0603,u0765,h1014,1,0
a0604,u0546,h1007,0,1
a0605,u0013,h1002,1,0
a0606,u0712,h1001,1,0
a0607,u0963,h1002,0,1
a0608,u0553,h1005,0,1
a0609,u1159,h1001,0,1
a0610,u0623,h1014,0,1
a0611,u1214,h1010,0,1
a0612,u0024,h1015,1,0
a0613,u1002,h1017,0,1
a0614,u0520,h1019,0,1
a0615,u0172,h1017,0,1
a0616,u1422,h1001,0,1
a0617,u0307,h1015,1,0
a0618,u0304,h1009,0,1
a0619,u1446,h1022,1,0
a0620,u0175,h1002,0,1
a0621,u0714,h1020,1,0
a0622,u0239,h1019,0,1
a0623,u0212,h1020,0,1
a0624,u0571,h1010,0,1
a0625,u1230,h1007,0,1
a0626,u1388,h1019,0,1
a0627,u0094,h1004,0,1
a0628,u0762,h1014,0,1
a0629,u0559,h1011,0,1
a0630,u0811,h1022,1,0
a0631,u0892,h1004,1,0
a0632,u1315,h1013,1,0
a0633,u0418,h1019,0,1
a0634,u0531,h1020,0,1
a0635,u0062,h1021,0,1
a0636,u1142,h1020,0,1
a0637,u0623,h1002,0,1
a0638,u0536,h1018,0,1
a0639,u0461,h1014,1,0
a0640,u0241,h1011,0,1
a0641,u1085,h1010,1,0
a0642,u1265,h1017,0,1
a0643,u1031,h1010,1,0
a0644,u0325,h1009,1,0
a0645,u0768,h1009,0,1
a0646,u0086,h1018,0,1
a0647,u1421,h1017,1,0
a0648,u0633,h1001,0,1
a0649,u0509,h1019,0,1
a0650,u0812,h1004,0,1
a0651,u1138,h1016,0,1
a0652,u0917,h1008,1,0
a0653,u0652,h1010,0,1
a0654,u1307,h1017,1,0
a0655,u0770,h1009,0,1
a0656,u0275,h1022,0,1
a0657,u1364,h1005,0,1
a0658,u0224,h1018,0,1
a0659,u1454,h1015,1,0
a0660,u1130,h1016,1,0
a0661,u0584,h1016,0,1
a0662,u0273,h1017,0,1
a0663,u0740,h1006,0,1
a0664,u0507,h1018,1,0
a0665,u1405,h1008,0,1
a0666,u1311,h1019,0,1
a0667,u1241,h1008,0,1
a0668,u0161,h1009,0,1
a0669,u0747,h1020,0,1
a0670,u0921,h1006,0,1
a0671,u0508,h1003,0,1
a0672,u0866,h1015,1,0
a0673,u0056,h1010,1,0
a0674,u1045,h1005,0,1
a0675,u1392,h1001,1,0
a0676,u1186,h1010,1,0
a0677,u0686,h1002,0,1
a0678,u0393,h1010,0,1
a0679,u0042,h1020,0,1
a0680,u0542,h1015,1,0
a0681,u1445,h1011,0,1
a0682,u0199,h1007,0,1
a0683,u0551,h1022,0,1
a0684,u1360,h1008,1,0
a0685,u1474,h1014,1,0
a0686,u0652,h1011,0,1
a0687,u0487,h1008,0,1
a0688,u0512,h1006,1,0
a0689,u1431,h1009,1,0
a0690,u0957,h1007,0,1
a0691,u1252,h1022,0,1
a0692,u1231,h1002,1,0
a0693,u1023,h1013,0,1
a0694,u1139,h1006,0,1
a0695,u1454,h1015,1,0
a0696,u0668,h1009,1,0
a0697,u0316,h1019,0,1
a0698,u0118,h1003,0,1
a0699,u0563,h1010,1,0
a0700,u0393,h1006,0,1
a0701,u0091,h1021,0,1
a0702,u0273,h1017,1,0
a0703,u0117,h1023,1,0
a0704,u0592,h1001,1,0
a0705,u0808,h1008,0,1
a0706,u0756,h1010,0,1
a0707,u1024,h1007,1,0
a0708,u1005,h1023,1,0
a0709,u0157,h1005,1,0
a0710,u0446,h1019,0,1
a0711,u0850,h1013,1,0
a0712,u0726,h1007,1,0
a0713,u0366,h1023,0,1
a0714,u1038,h1007,0,1
a0715,u0498,h1016,0,1
a0716,u0711,h1007,1,0
a0717,u0783,h1001,0,1
a0718,u0813,h1005,0,1
a0719,u0679,h1010,0,1
a0720,u0599,h1010,0,1
a0721,u0251,h1015,0,1
a0722,u0815,h1005,0,1
a0723,u1102,h1004,0,1
a0724,u0512,h1012,0,1
a0725,u0845,h1020,0,1
a0726,u0283,h1016,1,0
a0727,u0404,h1016,1,0
a0728,u0536,h1015,0,1
a0729,u1323,h1016,0,1
a0730,u1279,h1003,0,1
a0731,u0947,h1018,1,0
a0732,u1304,h1003,0,1
a0733,u0799,h1023,0,1
a0734,u0540,h1011,0,1
a0735,u1274,h1002,0,1
a0736,u1402,h1011,0,1
a0737,u1443,h1015,0,1
a0738,u0518,h1011,0,1
a0739,u0806,h1020,0,1
a0740,u0961,h1016,1,0
a0741,u1447,h1016,0,1
a0742,u0774,h1014,0,1
a0743,u1301,h1023,0,1
a0744,u0559,h1002,0,1
a0745,u0664,h1022,0,1
a0746,u0050,h1002,1,0
a0747,u1386,h1001,0,1
a0748,u0682,h1005,0,1
a0749,u1008,h1018,0,1
a0750,u0931,h1020,1,0
a0751,u0265,h1018,1,0
a0752,u1059,h1001,1,0
a0753,u1141,h1002,1,0
a0754,u0652,h1007,0,1
a0755,u1383,h1003,0,1
a0756,u0457,h1005,1,0
a0757,u0744,h1016,0,1
a0758,u0081,h1001,1,0
a0759,u0606,h1019,0,1
a0760,u0221,h1019,0,1
a0761,u1146,h1005,1,0
a0762,u0885,h1017,1,0
a0763,u0303,h1008,1,0
a0764,u0107,h1001,0,1
a0765,u1073,h1001,0,1
a0766,u0573,h1014,1,0
a0767,u1142,h1012,1,0
a0768,u0342,h1003,0,1
a0769,u1104,h1018,1,0
a0770,u0076,h1011,0,1
a0771,u1256,h1006,1,0
a0772,u0368,h1023,0,1
a0773,u0347,h1023,1,0
a0774,u1003,h1016,0,1
a0775,u0808,h1001,0,1
a0776,u0206,h1008,0,1
a0777,u0152,h1021,1,0
a0778,u0349,h1004,0,1
a0779,u0947,h1023,0,1
a0780,u0111,h1007,0,1
a0781,u0668,h1018,0,1
a0782,u0846,h1001,0,1
a0783,u0655,h1005,0,1
a0784,u0308,h1009,0,1
a0785,u1082,h1014,0,1
a0786,u0538,h1014,0,1
a0787,u1461,h1013,0,1
a0788,u0361,h1016,0,1
a0789,u0704,h1023,0,1
a0790,u0119,h1005,0,1
a0791,u1050,h1006,0,1
a0792,u0396,h1010,0,1
a0793,u0225,h1001,0,1
a0794,u0962,h1002,0,1
a0795,u0341,h1011,0,1
a0796,u1305,h1002,1,0
a0797,u1234,h1022,0,1
a0798,u0235,h1022,0,1
a0799,u1457,h1018,1,0
a0800,u0721,h1010,0,1
a0801,u0698,h1009,0,1
a0802,u1085,h1015,1,0
a0803,u0978,h1019,0,1
a0804,u0593,h1002,1,0
a0805,u1269,h1011,1,0
a0806,u0550,h1008,0,1
a0807,u0886,h1001,0,1
a0808,u0796,h1005,1,0
a0809,u0641,h1010,1,0
a0810,u0574,h1012,0,1
a0811,u0592,h1019,0,1
a0812,u0733,h1009,0,1
a0813,u0058,h1009,0,1
a0814,u0109,h1004,0,1
a0815,u1189,h1014,0,1
a0816,u1072,h1020,0,1
a0817,u1285,h1004,1,0
a0818,u1214,h1019,0,1
a0819,u1391,h1020,1,0
a0820,u0643,h1018,1,0
a0821,u0064,h1008,1,0
a0822,u1104,h1011,1,0
a0823,u0121,h1020,0,1
a0824,u0665,h1003,1,0
a0825,u1314,h1001,1,0
a0826,u0923,h1013,0,1
a0827,u1115,h1023,1,0
a0828,u0988,h1009,0,1
a0829,u1110,h1004,0,1
a0830,u0733,h1009,0,1
a0831,u0575,h1017,0,1
a0832,u0936,h1001,0,1
a0833,u0108,h1002,1,0
a0834,u1381,h1018,0,1
a0835,u1008,h1020,0,1
a0836,u0174,h1008,1,0
a0837,u0990,h1011,0,1
a0838,u0381,h1019,0,1
a0839,u0722,h1016,0,1
a0840,u1223,h1002,0,1
a0841,u0520,h1005,1,0
a0842,u1377,h1023,1,0
a0843,u0600,h1017,0,1
a0844,u1418,h1012,0,1
a0845,u0655,h1007,0,1
a0846,u1276,h1021,1,0
a0847,u1498,h1010,0,1
a0848,u1076,h1023,0,1
a0849,u0283,h1005,1,0
a0850,u0139,h1017,0,1
a0851,u0833,h1014,0,1
a0852,u0811,h1020,1,0
a0853,u0492,h1019,0,1
a0854,u0218,h1014,0,1
a0855,u0464,h1010,1,0
a0856,u1147,h1007,0,1
a0857,u1251,h1008,0,1
a0858,u1185,h1012,0,1
a0859,u0829,h1021,1,0
a0860,u0748,h1011,0,1
a0861,u0374,h1006,0,1
a0862,u1220,h1001,1,0
a0863,u0781,h1007,0,1
a0864,u0133,h1008,0,1
a0865,u0043,h1021,0,1
a0866,u0640,h1004,1,0
a0867,u0509,h1008,0,1
a0868,u0672,h1001,1,0
a0869,u1367,h1020,0,1
a0870,u0320,h1015,1,0
a0871,u0025,h1004,1,0
